,鳥,爬虫類,魚
241,,,カキイロヒメボウズハゼ
242,,,トンガスナハゼ
243,,,クジャクハゼ
244,,,マイコハゼ
245,,,栃木県のミツバヤツメ
246,,,本州の太平洋側湖沼系群のニシン
247,,,琵琶湖のコイ在来型
248,,,本州のジュウサンウグイ
249,,,東北地方のエゾウグイ
250,,,襟裳岬以西のシシャモ
251,,,紀伊半島のヤマトイワナ（キリクチ）
252,,,福島県以南の太平洋系陸封型イトヨ
253,,,本州のニホンイトヨ
254,,,本州のトミヨ属淡水型
255,,,有明海のスズキ
256,,,東北・北陸地方のカンキョウカジカ
257,,,東北地方のハナカジカ
258,,,北海道南部・東北地方のスミウキゴリ
259,,,沖縄島のクサフグ
